x_m,y_m
7.638605,2.049399
7.688605,1.999399
7.738605,1.999399
7.788605,1.999399
7.838605,1.999399
7.888605,1.999399
7.938605,1.999399
7.988605,2.049399
7.988605,2.099399
8.038605,2.099399
8.088605,2.149399
8.088605,2.199399
8.138605,2.249399
8.138605,2.299399
8.138605,2.349399
8.138605,2.399399
8.138605,2.449399
8.138605,2.499399
8.188605,2.499399
8.238605,2.499399
8.288605,2.499399
8.338605,2.499399
8.388605,2.499399
8.438605,2.499399
8.488605,2.499399
8.538605,2.499399
8.588605,2.449399
8.638605,2.449399
8.688605,2.399399
8.738605,2.399399
8.788605,2.399399
8.838605,2.399399
8.888605,2.399399
8.938605,2.399399
8.988605,2.349399
9.038605,2.349399
9.088605,2.349399
9.138605,2.299399
9.188605,2.299399
9.238605,2.299399
9.288605,2.299399
9.338605,2.299399
9.388605,2.249399
9.438605,2.249399
9.488605,2.199399
9.538605,2.199399
9.588605,2.199399
9.638605,2.199399
9.688605,2.199399
9.738605,2.199399
9.788605,2.199399
9.838605,2.149399
9.888605,2.149399
9.938605,2.149399
9.988605,2.149399
10.038605,2.149399
10.088605,2.149399
10.138605,2.149399
10.188605,2.149399
10.238605,2.099399
10.288605,2.099399
10.338605,2.099399
10.388605,2.099399
10.438605,2.099399
10.488605,2.099399
10.538605,2.099399
10.588605,2.099399
10.638605,2.099399
10.688605,2.099399
10.738605,2.099399
10.788605,2.099399
10.838605,2.099399
10.888605,2.099399
10.938605,2.099399
10.988605,2.099399
11.038605,2.099399
11.088605,2.099399
11.138605,2.099399
11.188605,2.099399
11.238605,2.099399
11.288605,2.099399
11.338605,2.099399
11.388605,2.049399
11.438605,2.049399
11.488605,2.049399
11.538605,2.049399
11.588605,2.049399
11.638605,2.049399
11.688605,2.049399
11.738605,2.049399
11.788605,2.049399
11.838605,2.049399
11.888605,2.049399
11.938605,2.049399
11.988605,2.049399
12.038605,2.049399
12.088605,2.049399
12.138605,2.049399
12.188605,2.049399
12.238605,2.049399
12.288605,2.049399
12.338605,2.049399
12.388605,2.049399
12.438605,2.049399
12.488605,2.049399
12.538605,2.049399
12.588605,2.049399
12.638605,2.049399
12.688605,2.049399
12.738605,2.049399
12.788605,2.049399
12.838605,2.049399
12.888605,2.049399
12.938605,2.049399
12.988605,2.049399
13.038605,2.049399
13.088605,2.049399
13.138605,2.049399
13.188605,2.049399
13.238605,2.049399
13.288605,2.049399
13.338605,2.049399
13.388605,2.049399
13.438605,2.049399
13.488605,2.049399
13.538605,2.049399
13.588605,2.049399
13.638605,2.049399
13.688605,2.049399
13.738605,2.049399
13.788605,2.049399
13.838605,2.049399
13.888605,2.049399
13.938605,2.049399
13.988605,2.049399
14.038605,2.049399
14.088605,2.099399
14.138605,2.099399
14.188605,2.099399
14.238605,2.099399
14.288605,2.099399
14.338605,2.099399
14.388605,2.099399
14.438605,2.099399
14.488605,2.149399
14.538605,2.149399
14.588605,2.149399
14.638605,2.199399
14.688605,2.199399
14.738605,2.249399
14.788605,2.249399
14.838605,2.299399
14.888605,2.299399
14.938605,2.349399
14.938605,2.399399
14.988605,2.449399
15.038605,2.499399
15.088605,2.549399
15.138605,2.599399
15.188605,2.599399
15.238605,2.649399
15.238605,2.699399
15.288605,2.699399
15.338605,2.749399
15.388605,2.799399
15.438605,2.799399
15.488605,2.849399
15.488605,2.899399
15.538605,2.949399
15.588605,2.999399
15.638605,3.049399
15.688605,3.099399
15.738605,3.149399
15.738605,3.199399
15.788605,3.249399
15.788605,3.299399
15.838605,3.349399
15.888605,3.399399
15.888605,3.449399
15.938605,3.499399
15.988605,3.549399
16.038605,3.599399
16.038605,3.649399
16.088605,3.699399
16.088605,3.749399
16.138605,3.799399
16.188605,3.849399
16.188605,3.899399
16.238605,3.949399
16.288605,3.999399
16.288605,4.049399
16.338605,4.099399
16.388605,4.149399
16.438605,4.199399
16.438605,4.249399
16.488605,4.299399
16.488605,4.349399
16.488605,4.399399
16.488605,4.449399
16.538605,4.499399
16.538605,4.549399
16.588605,4.599399
16.588605,4.649399
16.638605,4.699399
16.638605,4.749399
16.638605,4.799399
16.688605,4.849399
16.688605,4.899399
16.738605,4.949399
16.738605,4.999399
16.738605,5.049399
16.788605,5.099399
16.788605,5.149399
16.788605,5.199399
16.788605,5.249399
16.788605,5.299399
16.788605,5.349399
16.838605,5.399399
16.838605,5.449399
16.838605,5.499399
16.888605,5.549399
16.888605,5.599399
16.938605,5.649399
16.938605,5.699399
16.938605,5.749399
16.938605,5.799399
16.888605,5.849399
16.888605,5.899399
16.888605,5.949399
16.888605,5.999399
16.838605,6.049399
16.838605,6.099399
16.788605,6.149399
16.738605,6.199399
16.688605,6.199399
16.638605,6.199399
16.588605,6.199399
16.538605,6.199399
16.488605,6.199399
16.438605,6.149399
16.438605,6.099399
16.438605,6.049399
16.438605,5.999399
16.438605,5.949399
16.438605,5.899399
16.438605,5.849399
16.438605,5.799399
16.438605,5.749399
16.438605,5.699399
16.438605,5.649399
16.388605,5.599399
16.388605,5.549399
16.388605,5.499399
16.388605,5.449399
16.388605,5.399399
16.338605,5.349399
16.338605,5.299399
16.338605,5.249399
16.338605,5.199399
16.338605,5.149399
16.288605,5.099399
16.238605,5.049399
16.238605,4.999399
16.238605,4.949399
16.188605,4.899399
16.188605,4.849399
16.188605,4.799399
16.188605,4.749399
16.138605,4.699399
16.138605,4.649399
16.138605,4.599399
16.088605,4.549399
16.088605,4.499399
16.038605,4.449399
16.038605,4.399399
15.988605,4.349399
15.988605,4.299399
15.938605,4.249399
15.938605,4.199399
15.888605,4.149399
15.888605,4.099399
15.838605,4.049399
15.788605,3.999399
15.738605,3.949399
15.738605,3.899399
15.738605,3.849399
15.688605,3.799399
15.638605,3.749399
15.588605,3.699399
15.538605,3.649399
15.488605,3.599399
15.438605,3.549399
15.388605,3.499399
15.388605,3.449399
15.338605,3.399399
15.288605,3.349399
15.238605,3.299399
15.188605,3.299399
15.138605,3.249399
15.138605,3.199399
15.088605,3.199399
15.038605,3.149399
14.988605,3.099399
14.938605,3.049399
14.938605,2.999399
14.888605,2.949399
14.838605,2.949399
14.788605,2.899399
14.788605,2.849399
14.738605,2.799399
14.688605,2.749399
14.638605,2.699399
14.588605,2.699399
14.538605,2.699399
14.488605,2.699399
14.438605,2.649399
14.388605,2.649399
14.338605,2.649399
14.288605,2.649399
14.238605,2.649399
