x_m,y_m,w_tr_right_m,w_tr_left_m
11.138605,1.325986,0.2843,0.3037
11.188605,1.324850,0.2789,0.3043
11.238605,1.323876,0.2779,0.3064
11.288605,1.323067,0.2779,0.3099
11.338605,1.322426,0.2789,0.3101
11.388605,1.321956,0.2843,0.3112
11.438605,1.321660,0.2843,0.3126
11.488605,1.321540,0.2843,0.3151
11.538605,1.321600,0.2843,0.3162
11.588605,1.321842,0.2843,0.3162
11.638605,1.321284,0.2843,0.3162
11.688605,1.320797,0.2843,0.3162
11.738605,1.320380,0.2843,0.3162
11.788605,1.320034,0.2854,0.3177
11.838605,1.319759,0.2880,0.3177
11.888605,1.319554,0.2906,0.3177
11.938605,1.319420,0.3158,0.3177
11.988605,1.318486,0.3211,0.3156
12.038605,1.317735,0.3223,0.3177
12.088605,1.317162,0.3223,0.3204
12.138605,1.316767,0.3223,0.3205
12.188605,1.316545,0.3223,0.3232
12.238605,1.316494,0.3223,0.3235
12.288605,1.316610,0.3223,0.3266
12.338605,1.316022,0.3211,0.3275
12.388605,1.315708,0.3158,0.3336
12.438605,1.315663,0.3129,0.3360
12.488605,1.315880,0.3073,0.3406
12.538605,1.316353,0.3069,0.3430
12.588605,1.317079,0.3034,0.3444
12.638605,1.317180,0.3029,0.3500
12.688605,1.317632,0.3017,0.3513
12.738605,1.318428,0.3015,0.3561
12.788605,1.319558,0.3010,0.3567
12.838605,1.320144,0.3008,0.3576
12.888605,1.321160,0.2972,0.3584
12.938605,1.321723,0.2972,0.3621
12.988605,1.322805,0.2969,0.3763
13.038605,1.324391,0.2968,0.3796
13.088605,1.326466,0.2968,0.3830
13.138605,1.328034,0.2908,0.3849
13.188605,1.329075,0.2773,0.3863
13.238605,1.330556,0.2755,0.3866
13.288605,1.332456,0.2497,0.3868
13.338605,1.333886,0.2497,0.3913
13.388605,1.334937,0.2455,0.3919
13.438605,1.335698,0.2455,0.3919
13.488605,1.337125,0.2455,0.3919
13.538605,1.338321,0.2449,0.3928
13.588605,1.340353,0.2371,0.4014
13.638605,1.342434,0.2351,0.4120
13.688605,1.345515,0.2330,0.4129
13.738605,1.348691,0.2299,0.4134
13.788605,1.352041,0.2299,0.4146
13.838605,1.356509,0.2299,0.4147
13.888605,1.361186,0.2271,0.4151
13.938605,1.366144,0.2243,0.4151
13.988605,1.372321,0.2243,0.4155
14.038605,1.378804,0.1898,0.4162
14.088605,1.384673,0.1725,0.4164
14.138605,1.390859,0.1723,0.4171
14.188605,1.397421,0.1500,0.4178
14.238605,1.404413,0.1500,0.4178
14.288605,1.411888,0.1500,0.4178
14.338605,1.419895,0.1500,0.4198
14.388605,1.428481,0.1500,0.4226
14.438605,1.437689,0.1500,0.4261
14.488605,1.447561,0.1500,0.4304
14.538605,1.458134,0.1500,0.4348
14.589475,1.469444,0.1500,0.4401
14.640234,1.481523,0.1500,0.4471
14.690884,1.494401,0.1500,0.4550
14.741428,1.508105,0.1500,0.4626
14.792739,1.522659,0.1500,0.4701
14.843838,1.538084,0.1500,0.4822
14.894731,1.555383,0.1500,0.4940
14.946293,1.573704,0.1500,0.5031
14.997550,1.593062,0.1500,0.5090
15.048508,1.613471,0.1500,0.5095
15.100047,1.634940,0.1500,0.5105
15.151193,1.657476,0.1500,0.5112
15.201958,1.681084,0.1500,0.5125
15.253224,1.705765,0.1500,0.5148
15.304019,1.731517,0.1500,0.5184
15.354357,1.758336,0.1500,0.5220
15.405125,1.786216,0.1500,0.5266
15.455352,1.815146,0.1500,0.5318
15.505927,1.845114,0.1500,0.5364
15.556756,1.876104,0.1500,0.5436
15.606875,1.908097,0.1500,0.5512
15.657179,1.941073,0.1500,0.5577
15.707577,1.975008,0.1500,0.5673
15.757114,2.009874,0.1500,0.5774
15.806687,2.045642,0.1500,0.5885
15.855345,2.082280,0.1500,0.5999
15.903987,2.119753,0.1500,0.6072
15.951663,2.158021,0.1500,0.6073
15.999278,2.197045,0.1500,0.6083
16.045882,2.237764,0.1500,0.6095
16.092384,2.279266,0.1500,0.6116
16.137838,2.321503,0.1500,0.6140
16.183154,2.364426,0.1500,0.6163
16.228260,2.407983,0.1500,0.6206
