x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-4.682449,0.254435,1.1044,0.5738,-0.744857,0.702090,3.6115
-4.606724,0.189289,1.0385,0.6197,-0.676680,0.663015,3.6879
-4.526845,0.129296,0.9783,0.6720,-0.612274,0.626784,3.7665
-4.443371,0.074423,0.9235,0.7275,-0.551352,0.592996,3.8466
-4.356787,0.024588,0.8740,0.7781,-0.493710,0.561248,3.9280
-4.267548,-0.020314,0.8296,0.8332,-0.439142,0.531252,4.0106
-4.176047,-0.060419,0.7900,0.8920,-0.387502,0.502727,4.0943
-4.082650,-0.095878,0.7546,0.9480,-0.338643,0.475462,4.1790
-3.987670,-0.126862,0.7233,0.9787,-0.292457,0.449252,4.2649
-3.891398,-0.153552,0.6965,1.0052,-0.248841,0.423942,4.3520
-3.794078,-0.176141,0.6738,1.0277,-0.207718,0.399380,4.4406
-3.695935,-0.194829,0.6522,1.0524,-0.169013,0.375450,4.5308
-3.597158,-0.209823,0.6072,1.0752,-0.132676,0.352039,4.6228
-3.497917,-0.221334,0.5796,1.1033,-0.098653,0.329061,4.7168
-3.398347,-0.229577,0.5715,1.1364,-0.066909,0.306432,4.8131
-3.298574,-0.234767,0.5663,1.1743,-0.037410,0.284087,4.9120
-3.198691,-0.237123,0.5602,1.1903,-0.010134,0.261966,5.0137
-3.098782,-0.236865,0.5278,1.2001,0.014943,0.240023,5.1185
-2.998906,-0.234211,0.5155,1.2101,0.037834,0.218214,5.2269
-2.899112,-0.229379,0.5133,1.2239,0.058551,0.196507,5.3391
-2.799431,-0.222590,0.4884,1.2270,0.077103,0.174873,5.4546
-2.699884,-0.214060,0.4850,1.2299,0.093497,0.153291,5.5664
-2.600479,-0.204006,0.4829,1.2395,0.107736,0.131743,5.6750
-2.501215,-0.192645,0.4648,1.2437,0.119823,0.110216,5.7805
-2.402082,-0.180191,0.4514,1.2360,0.129761,0.088702,5.8831
-2.303063,-0.166859,0.4377,1.2356,0.137549,0.067194,5.9830
-2.204135,-0.152863,0.4235,1.2425,0.143188,0.045687,6.0803
-2.105273,-0.138410,0.4125,1.2459,0.146856,0.027749,6.1752
-2.006452,-0.123682,0.3976,1.2453,0.148733,0.009813,6.2678
-1.907648,-0.108834,0.3915,1.2526,0.149527,0.006099,6.3582
-1.808854,-0.093926,0.4065,1.2457,0.149951,0.002393,6.4465
-1.710064,-0.078988,0.4214,1.2307,0.150182,0.002230,6.5329
-1.611277,-0.064029,0.4018,1.2233,0.150397,0.002069,6.6175
