x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-4.596459,0.395004,1.0757,0.3992,-0.584313,1.154979,2.0460
-4.509824,0.344388,1.1415,0.4216,-0.475794,1.000068,2.0959
-4.419427,0.303039,1.1417,0.4559,-0.385217,0.819252,2.1651
-4.325414,0.269188,1.1101,0.4959,-0.307328,0.739437,2.2567
-4.229244,0.242385,1.0942,0.5238,-0.237673,0.655174,2.3479
-4.131631,0.221998,1.0732,0.5622,-0.175030,0.601019,2.4419
-4.032634,0.207454,1.0588,0.6077,-0.117621,0.546423,2.5334
-3.933404,0.198387,1.0545,0.6413,-0.065325,0.503481,2.6246
-3.833349,0.194302,1.0417,0.6561,-0.016977,0.462450,2.7141
-3.733683,0.194828,1.0348,0.6662,0.026755,0.415197,2.8029
-3.633677,0.199509,1.0238,0.6716,0.066046,0.370139,2.8938
-3.534275,0.207837,1.0262,0.6798,0.100166,0.313333,2.9874
-3.434888,0.219308,1.0256,0.6965,0.128712,0.257690,3.0879
-3.336015,0.233296,1.0287,0.7024,0.151303,0.193754,3.1958
-3.237323,0.249215,1.0342,0.7017,0.167461,0.129708,3.3145
-3.138850,0.266417,1.0372,0.7007,0.177471,0.071615,3.4451
-3.040569,0.284312,1.0321,0.6899,0.181795,0.014929,3.5869
-2.942182,0.302383,1.0345,0.6933,0.180682,-0.035565,3.7408
-2.843912,0.320072,1.0313,0.6860,0.174692,-0.084630,3.8806
-2.745264,0.336972,1.0303,0.6888,0.163928,-0.128665,3.9961
-2.646663,0.352561,1.0148,0.6838,0.148954,-0.171772,4.0893
-2.547580,0.366510,0.9962,0.6864,0.130690,-0.180222,4.1607
-2.448524,0.378645,0.9751,0.6821,0.113311,-0.167960,4.2250
-2.349227,0.389130,0.9567,0.6835,0.097502,-0.144581,4.2912
-2.249835,0.398181,0.9368,0.7008,0.084663,-0.112239,4.3639
-2.150419,0.406100,0.9261,0.6999,0.074483,-0.099239,4.4473
-2.050738,0.413044,0.9240,0.7135,0.064670,-0.097066,4.5329
-1.951114,0.419019,0.9120,0.7156,0.055267,-0.089824,4.6161
-1.851270,0.424109,0.8940,0.7256,0.046758,-0.080442,4.6996
