x_m,y_m,w_tr_right_m,w_tr_left_m
-0.046137,-0.000009,1.250000,1.250000
0.053810,-0.000012,1.250000,1.250000
0.153756,-0.000115,1.250000,1.250000
0.253702,-0.000302,1.250000,1.250000
0.353648,-0.000556,1.250000,1.250000
0.453594,-0.000862,1.250000,1.250000
0.553539,-0.001203,1.250000,1.250000
0.653485,-0.001564,1.250000,1.250000
0.753431,-0.001936,1.250000,1.250000
0.853376,-0.002318,1.250000,1.250000
0.953322,-0.002709,1.250000,1.250000
1.053267,-0.003107,1.250000,1.250000
1.153213,-0.003510,1.250000,1.250000
1.253158,-0.003917,1.250000,1.250000
1.353104,-0.004327,1.250000,1.250000
1.453049,-0.004737,1.250000,1.250000
1.552994,-0.005147,1.250000,1.250000
1.652940,-0.005556,1.250000,1.250000
1.752885,-0.005961,1.250000,1.250000
1.852831,-0.006361,1.250000,1.250000
1.952776,-0.006755,1.250000,1.250000
2.052722,-0.007141,1.250000,1.250000
2.152667,-0.007518,1.250000,1.250000
2.252613,-0.007884,1.250000,1.250000
2.352559,-0.008238,1.250000,1.250000
2.452504,-0.008578,1.250000,1.250000
2.552450,-0.008903,1.250000,1.250000
2.652396,-0.009211,1.250000,1.250000
2.752342,-0.009501,1.250000,1.250000
2.852288,-0.009771,1.250000,1.250000
2.952234,-0.010021,1.250000,1.250000
3.052180,-0.010248,1.250000,1.250000
3.152126,-0.010451,1.250000,1.250000
3.252072,-0.010628,1.250000,1.250000
3.352018,-0.010778,1.250000,1.250000
3.451964,-0.010900,1.250000,1.250000
3.551910,-0.010992,1.250000,1.250000
3.651857,-0.011053,1.250000,1.250000
3.751803,-0.011081,1.250000,1.250000
3.851749,-0.011075,1.250000,1.250000
3.951695,-0.011033,1.250000,1.250000
4.051642,-0.010954,1.250000,1.250000
4.151588,-0.010837,1.250000,1.250000
4.251534,-0.010679,1.250000,1.250000
4.351480,-0.010481,1.250000,1.250000
4.451426,-0.010239,1.250000,1.250000
4.551372,-0.009953,1.250000,1.250000
4.651318,-0.009622,1.250000,1.250000
4.751263,-0.009243,1.250000,1.250000
4.851209,-0.008817,1.250000,1.250000
4.951154,-0.008340,1.250000,1.250000
5.051099,-0.007813,1.250000,1.250000
5.151043,-0.007232,1.250000,1.250000
5.250987,-0.006598,1.250000,1.250000
5.350931,-0.005909,1.250000,1.250000
5.450875,-0.005163,1.250000,1.250000
5.550818,-0.004359,1.250000,1.250000
5.650760,-0.003496,1.250000,1.250000
5.750702,-0.002572,1.250000,1.250000
5.850644,-0.001587,1.250000,1.250000
5.950585,-0.000538,1.250000,1.250000
6.050525,0.000576,1.250000,1.250000
6.150464,0.001755,1.250000,1.250000
6.250402,0.003001,1.250000,1.250000
6.350340,0.004316,1.250000,1.250000
6.450277,0.005700,1.250000,1.250000
6.550212,0.007155,1.250000,1.250000
6.650147,0.008682,1.250000,1.250000
6.750080,0.010283,1.250000,1.250000
6.850013,0.011958,1.250000,1.250000
6.949944,0.013709,1.250000,1.250000
7.049873,0.015537,1.250000,1.250000
7.149801,0.017443,1.250000,1.250000
7.249728,0.019428,1.250000,1.250000
7.349653,0.021494,1.250000,1.250000
7.449576,0.023642,1.250000,1.250000
7.549497,0.025872,1.250000,1.250000
7.649417,0.028186,1.250000,1.250000
7.749334,0.030585,1.250000,1.250000
7.849250,0.033071,1.250000,1.250000
7.949163,0.035644,1.250000,1.250000
8.049074,0.038305,1.250000,1.250000
8.148982,0.041055,1.250000,1.250000
8.248888,0.043896,1.250000,1.250000
8.348791,0.046829,1.250000,1.250000
8.448692,0.049854,1.250000,1.250000
8.548589,0.052973,1.250000,1.250000
8.648484,0.056186,1.250000,1.250000
8.748375,0.059495,1.250000,1.250000
8.848264,0.062900,1.250000,1.250000
8.948148,0.066403,1.250000,1.250000
9.048030,0.070004,1.250000,1.250000
9.147907,0.073705,1.250000,1.250000
9.247781,0.077507,1.250000,1.250000
9.347652,0.081409,1.250000,1.250000
9.447518,0.085414,1.250000,1.250000
9.547379,0.089522,1.250000,1.250000
9.647237,0.093734,1.250000,1.250000
9.747090,0.098050,1.250000,1.250000
9.846938,0.102473,1.250000,1.250000
9.946782,0.107002,1.250000,1.250000
10.046620,0.111638,1.250000,1.250000
10.146454,0.116382,1.250000,1.250000
10.246282,0.121235,1.250000,1.250000
10.346105,0.126199,1.250000,1.250000
10.445923,0.131272,1.250000,1.250000
10.545735,0.136457,1.250000,1.250000
10.645540,0.141754,1.250000,1.250000
10.745340,0.147163,1.250000,1.250000
10.845134,0.152686,1.250000,1.250000
10.944921,0.158324,1.250000,1.250000
11.044701,0.164076,1.250000,1.250000
11.144475,0.169943,1.250000,1.250000
11.244242,0.175927,1.250000,1.250000
11.344002,0.182027,1.250000,1.250000
11.443755,0.188245,1.250000,1.250000
11.543500,0.194581,1.250000,1.250000
11.643238,0.201036,1.250000,1.250000
11.742968,0.207610,1.250000,1.250000
11.842689,0.214304,1.250000,1.250000
11.942403,0.221118,1.250000,1.250000
12.042109,0.228053,1.250000,1.250000
12.141805,0.235109,1.250000,1.250000
12.241494,0.242288,1.250000,1.250000
12.341173,0.249589,1.250000,1.250000
12.440843,0.257013,1.250000,1.250000
12.540504,0.264561,1.250000,1.250000
12.640155,0.272232,1.250000,1.250000
12.739797,0.280028,1.250000,1.250000
12.839429,0.287949,1.250000,1.250000
12.939051,0.295995,1.250000,1.250000
13.038662,0.304167,1.250000,1.250000
13.138264,0.312465,1.250000,1.250000
13.237854,0.320889,1.250000,1.250000
13.337434,0.329441,1.250000,1.250000
13.437003,0.338119,1.250000,1.250000
13.536560,0.346925,1.250000,1.250000
13.636106,0.355859,1.250000,1.250000
13.735641,0.364922,1.250000,1.250000
13.835164,0.374113,1.250000,1.250000
13.934675,0.383433,1.250000,1.250000
14.034173,0.392882,1.250000,1.250000
14.133659,0.402460,1.250000,1.250000
14.233133,0.412168,1.250000,1.250000
14.332594,0.422006,1.250000,1.250000
14.432042,0.431975,1.250000,1.250000
14.531477,0.442074,1.250000,1.250000
14.630898,0.452303,1.250000,1.250000
14.730306,0.462664,1.250000,1.250000
14.829700,0.473155,1.250000,1.250000
14.929080,0.483777,1.250000,1.250000
15.028449,0.494507,1.250000,1.250000
15.127809,0.505311,1.250000,1.250000
15.227166,0.516154,1.250000,1.250000
15.326522,0.527002,1.250000,1.250000
15.425881,0.537821,1.250000,1.250000
15.525246,0.548577,1.250000,1.250000
15.624623,0.559234,1.250000,1.250000
15.724013,0.569760,1.250000,1.250000
15.823421,0.580119,1.250000,1.250000
15.922850,0.590277,1.250000,1.250000
16.022303,0.600198,1.250000,1.250000
16.121782,0.609847,1.250000,1.250000
16.221291,0.619187,1.250000,1.250000
16.320832,0.628182,1.250000,1.250000
16.420406,0.636792,1.250000,1.250000
16.520017,0.644980,1.250000,1.250000
16.619664,0.652706,1.250000,1.250000
16.719349,0.659928,1.250000,1.250000
16.819072,0.666605,1.250000,1.250000
16.918832,0.672693,1.250000,1.250000
17.018630,0.678146,1.250000,1.250000
17.118462,0.682919,1.250000,1.250000
17.218326,0.686963,1.250000,1.250000
17.318219,0.690227,1.250000,1.250000
17.418136,0.692658,1.250000,1.250000
17.518070,0.694204,1.250000,1.250000
17.618014,0.694805,1.250000,1.250000
17.717960,0.694405,1.250000,1.250000
17.817895,0.692939,1.250000,1.250000
17.917807,0.690344,1.250000,1.250000
18.017682,0.686553,1.250000,1.250000
18.117500,0.681495,1.250000,1.250000
18.217241,0.675096,1.250000,1.250000
18.316880,0.667281,1.250000,1.250000
18.416392,0.657969,1.250000,1.250000
18.515742,0.647077,1.250000,1.250000
18.614896,0.634521,1.250000,1.250000
18.713812,0.620212,1.250000,1.250000
18.812444,0.604058,1.250000,1.250000
18.910738,0.585965,1.250000,1.250000
19.008636,0.565840,1.250000,1.250000
19.106072,0.543584,1.250000,1.250000
19.202973,0.519101,1.250000,1.250000
19.299256,0.492295,1.250000,1.250000
19.394833,0.463071,1.250000,1.250000
19.489605,0.431336,1.250000,1.250000
19.583468,0.397003,1.250000,1.250000
19.676307,0.359991,1.250000,1.250000
19.768000,0.320227,1.250000,1.250000
19.858421,0.277647,1.250000,1.250000
19.947435,0.232200,1.250000,1.250000
20.034905,0.183850,1.250000,1.250000
20.120710,0.132602,1.250000,1.250000
20.204774,0.078546,1.250000,1.250000
20.287037,0.021787,1.250000,1.250000
20.367449,-0.037566,1.250000,1.250000
20.445969,-0.099400,1.250000,1.250000
20.522569,-0.163598,1.250000,1.250000
20.597227,-0.230045,1.250000,1.250000
20.669931,-0.298624,1.250000,1.250000
20.740676,-0.369221,1.250000,1.250000
20.809466,-0.441726,1.250000,1.250000
20.876310,-0.516029,1.250000,1.250000
20.941223,-0.592025,1.250000,1.250000
21.004222,-0.669614,1.250000,1.250000
21.065333,-0.748700,1.250000,1.250000
21.124582,-0.829190,1.250000,1.250000
21.181997,-0.910998,1.250000,1.250000
21.237610,-0.994042,1.250000,1.250000
21.291454,-1.078244,1.250000,1.250000
21.343564,-1.163530,1.250000,1.250000
21.393973,-1.249832,1.250000,1.250000
21.442717,-1.337086,1.250000,1.250000
21.489831,-1.425230,1.250000,1.250000
21.535351,-1.514208,1.250000,1.250000
21.579311,-1.603967,1.250000,1.250000
21.621745,-1.694457,1.250000,1.250000
21.662689,-1.785632,1.250000,1.250000
21.702173,-1.877448,1.250000,1.250000
21.740231,-1.969865,1.250000,1.250000
21.776894,-2.062843,1.250000,1.250000
21.812193,-2.156348,1.250000,1.250000
21.846156,-2.250347,1.250000,1.250000
21.878812,-2.344807,1.250000,1.250000
21.910189,-2.439701,1.250000,1.250000
21.940312,-2.534999,1.250000,1.250000
21.969208,-2.630677,1.250000,1.250000
21.996900,-2.726710,1.250000,1.250000
22.023413,-2.823076,1.250000,1.250000
22.048767,-2.919752,1.250000,1.250000
22.072986,-3.016720,1.250000,1.250000
22.096089,-3.113959,1.250000,1.250000
22.118095,-3.211453,1.250000,1.250000
22.139024,-3.309183,1.250000,1.250000
22.158894,-3.407134,1.250000,1.250000
22.177721,-3.505291,1.250000,1.250000
22.195521,-3.603639,1.250000,1.250000
22.212310,-3.702165,1.250000,1.250000
22.228103,-3.800856,1.250000,1.250000
22.242912,-3.899699,1.250000,1.250000
22.256752,-3.998682,1.250000,1.250000
22.269634,-4.097795,1.250000,1.250000
22.281570,-4.197026,1.250000,1.250000
22.292570,-4.296365,1.250000,1.250000
22.302647,-4.395802,1.250000,1.250000
22.311807,-4.495327,1.250000,1.250000
22.320062,-4.594932,1.250000,1.250000
22.327419,-4.694607,1.250000,1.250000
22.333886,-4.794344,1.250000,1.250000
22.339469,-4.894134,1.250000,1.250000
22.344177,-4.993970,1.250000,1.250000
22.348014,-5.093842,1.250000,1.250000
22.350986,-5.193744,1.250000,1.250000
22.353098,-5.293668,1.250000,1.250000
22.354354,-5.393606,1.250000,1.250000
22.354760,-5.493552,1.250000,1.250000
22.354320,-5.593497,1.250000,1.250000
22.353038,-5.693435,1.250000,1.250000
22.350919,-5.793359,1.250000,1.250000
22.347965,-5.893261,1.250000,1.250000
22.344181,-5.993136,1.250000,1.250000
22.339569,-6.092976,1.250000,1.250000
22.334132,-6.192774,1.250000,1.250000
22.327873,-6.292524,1.250000,1.250000
22.320793,-6.392219,1.250000,1.250000
22.312893,-6.491853,1.250000,1.250000
22.304177,-6.591418,1.250000,1.250000
22.294644,-6.690909,1.250000,1.250000
22.284295,-6.790318,1.250000,1.250000
22.273130,-6.889639,1.250000,1.250000
22.261151,-6.988864,1.250000,1.250000
22.248355,-7.087988,1.250000,1.250000
22.234744,-7.187003,1.250000,1.250000
22.220316,-7.285903,1.250000,1.250000
22.205069,-7.384679,1.250000,1.250000
22.189002,-7.483325,1.250000,1.250000
22.172114,-7.581834,1.250000,1.250000
22.154401,-7.680199,1.250000,1.250000
22.135862,-7.778410,1.250000,1.250000
22.116493,-7.876462,1.250000,1.250000
22.096291,-7.974345,1.250000,1.250000
22.075252,-8.072052,1.250000,1.250000
22.053372,-8.169574,1.250000,1.250000
22.030647,-8.266902,1.250000,1.250000
22.007071,-8.364028,1.250000,1.250000
21.982640,-8.460942,1.250000,1.250000
21.957348,-8.557635,1.250000,1.250000
21.931189,-8.654098,1.250000,1.250000
21.904157,-8.750319,1.250000,1.250000
21.876244,-8.846288,1.250000,1.250000
21.847444,-8.941995,1.250000,1.250000
21.817748,-9.037428,1.250000,1.250000
21.787149,-9.132574,1.250000,1.250000
21.755638,-9.227423,1.250000,1.250000
21.723206,-9.321961,1.250000,1.250000
21.689843,-9.416174,1.250000,1.250000
21.655539,-9.510049,1.250000,1.250000
21.620285,-9.603571,1.250000,1.250000
21.584068,-9.696725,1.250000,1.250000
21.546878,-9.789494,1.250000,1.250000
21.508702,-9.881862,1.250000,1.250000
21.469529,-9.973812,1.250000,1.250000
21.429344,-10.065324,1.250000,1.250000
21.388136,-10.156379,1.250000,1.250000
21.345888,-10.246957,1.250000,1.250000
21.302588,-10.337036,1.250000,1.250000
21.258219,-10.426594,1.250000,1.250000
21.212767,-10.515607,1.250000,1.250000
21.166214,-10.604050,1.250000,1.250000
21.118545,-10.691896,1.250000,1.250000
21.069743,-10.779117,1.250000,1.250000
21.019789,-10.865684,1.250000,1.250000
20.968666,-10.951565,1.250000,1.250000
20.916355,-11.036729,1.250000,1.250000
20.862838,-11.121139,1.250000,1.250000
20.808094,-11.204759,1.250000,1.250000
20.752106,-11.287551,1.250000,1.250000
20.694853,-11.369474,1.250000,1.250000
20.636315,-11.450483,1.250000,1.250000
20.576474,-11.530534,1.250000,1.250000
20.515308,-11.609578,1.250000,1.250000
20.452799,-11.687563,1.250000,1.250000
20.388928,-11.764437,1.250000,1.250000
20.323675,-11.840143,1.250000,1.250000
20.257025,-11.914620,1.250000,1.250000
20.188959,-11.987805,1.250000,1.250000
20.119462,-12.059634,1.250000,1.250000
20.048521,-12.130036,1.250000,1.250000
19.976123,-12.198939,1.250000,1.250000
19.902259,-12.266268,1.250000,1.250000
19.826920,-12.331943,1.250000,1.250000
19.750104,-12.395882,1.250000,1.250000
19.671808,-12.458002,1.250000,1.250000
19.592036,-12.518214,1.250000,1.250000
19.510796,-12.576429,1.250000,1.250000
19.428100,-12.632556,1.250000,1.250000
19.343964,-12.686502,1.250000,1.250000
19.258413,-12.738174,1.250000,1.250000
