# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-4.882160008533498186e+00;-2.171655958369347772e+01;3.081070705812100741e+00;-7.019396532253334708e-01;4.134668873268027234e+00;-6.608829420277997913e-02;3.500987107473403914e-01;2.643447840783813341e+00
9.997494170756168752e-02;-4.981618701987350128e+00;-2.170712618546319916e+01;3.014041654754416211e+00;-6.386111351584373708e-01;4.133070570998098603e+00;1.025033457022417549e+00;3.700650133213101989e-01;2.568400933157767518e+00
1.999498834151233750e-01;-5.080365895359664208e+00;-2.169135554078188477e+01;2.953524024321796393e+00;-5.735767647358276378e-01;4.157791200274345123e+00;2.017618351853724512e+00;4.084425913042571410e-01;2.474443039879048456e+00
2.999248251226850348e-01;-5.177919042444049325e+00;-2.166991432219543157e+01;2.897307083093205726e+00;-5.527963507140074562e-01;4.206025465841611855e+00;2.152284020083353511e+00;4.271134324947215011e-01;2.378793835583580485e+00
3.998997668302467501e-01;-5.274298653446908069e+00;-2.164306823655308776e+01;2.842828267071290327e+00;-5.355940774735929999e-01;4.256876690509139749e+00;2.224447418969915269e+00;4.556872463718008581e-01;2.282673847657280319e+00
4.998747085378084654e-01;-5.368995728485181473e+00;-2.161115393542013052e+01;2.790702396494618931e+00;-5.076621104078715696e-01;4.308802288372739042e+00;2.503086194037002166e+00;4.982933530386764454e-01;2.187580051640600320e+00
5.998496502453700696e-01;-5.462003588583232094e+00;-2.157445533580837704e+01;2.741256231596403747e+00;-4.856300776569213995e-01;4.366493897048506767e+00;2.667139318717426821e+00;5.437025838547546730e-01;2.094675875220224359e+00
6.998245919529317849e-01;-5.553030749275800204e+00;-2.153329045376653283e+01;2.692416315548729067e+00;-4.919376730182493107e-01;4.427139386645884578e+00;2.282467877155383018e+00;5.912588003739340792e-01;2.003808362711017477e+00
7.997995336604935002e-01;-5.642028624891395339e+00;-2.148764797549687700e+01;2.642986837254567511e+00;-4.901857778911500874e-01;4.478386130597414194e+00;2.091329384404266634e+00;6.470359578567074221e-01;1.914543016755632765e+00
8.997744753680552154e-01;-5.728628796339279461e+00;-2.143777096773699853e+01;2.595649568676304586e+00;-4.577287591873748784e-01;4.524831864425631345e+00;2.549264592939839424e+00;7.020386262061946159e-01;1.828328669185791178e+00
9.997494170756169307e-01;-5.812924477601320916e+00;-2.138393667933463149e+01;2.551305970288713976e+00;-4.307649226290267697e-01;4.580810906321516995e+00;2.879782740152351916e+00;7.589368119776885857e-01;1.743677958284866714e+00
1.099724358783178646e+00;-5.894764255076768933e+00;-2.132655647541037780e+01;2.509248026519265817e+00;-4.106863926772936213e-01;4.643236024867625211e+00;3.062402931785812576e+00;8.208465102354784992e-01;1.662008587221328382e+00
1.199699300490740139e+00;-5.974195245816702915e+00;-2.126585382033489680e+01;2.469175785075021334e+00;-3.924236633134613461e-01;4.708711914293463252e+00;3.213482014990097113e+00;8.752288958400241681e-01;1.582686261773157854e+00
1.299674242198301855e+00;-6.051162947577306106e+00;-2.120209258913236994e+01;2.430549095917501567e+00;-3.805814696109728335e-01;4.776452998414521645e+00;3.229025769845398131e+00;9.284769487770534457e-01;1.508475837801864117e+00
1.399649183905863570e+00;-6.125680373877035123e+00;-2.113542139484938787e+01;2.393063948945991282e+00;-3.687693181593156844e-01;4.843567545961147580e+00;3.257924739110027001e+00;9.860378678038176359e-01;1.440149276810450019e+00
1.499624125613425285e+00;-6.197661965149742436e+00;-2.106607730968219272e+01;2.356865382591373681e+00;-3.555985439000203807e-01;4.910353168973530025e+00;3.332750148456588679e+00;1.047173784510989414e+00;1.378650880690685421e+00
1.599599067320987000e+00;-6.267158979123177431e+00;-2.099419141297693159e+01;2.321938118389351491e+00;-3.434988239038227475e-01;4.977745598931710980e+00;3.393015469547941532e+00;1.111358436829208429e+00;1.321908043520135578e+00
1.699574009028548716e+00;-6.334122237105851205e+00;-2.091998682854837455e+01;2.288120265063490866e+00;-3.332187493461296057e-01;5.045432022656319404e+00;3.419045335369087724e+00;1.178063662518393784e+00;1.270425721573186228e+00
1.799548950736110431e+00;-6.398600072018073348e+00;-2.084356494230312151e+01;2.255300235503789885e+00;-3.231411606348525423e-01;5.112731365077174850e+00;3.452029992159455052e+00;1.242101225777745066e+00;1.208177296854278326e+00
1.899523892443672146e+00;-6.460555521619067321e+00;-2.076512597261085702e+01;2.223511085665816900e+00;-3.129673339030308865e-01;5.179792950101548499e+00;3.499285341425473206e+00;1.304065947711698925e+00;1.146886460845875977e+00
1.999498834151233861e+00;-6.520045467106557524e+00;-2.068476131096955939e+01;2.192708813667237244e+00;-3.031289552630522799e-01;5.246897816993959296e+00;3.548452915147440212e+00;1.363859913641465971e+00;1.087054417320439059e+00
2.099473775858795577e+00;-6.577056285283099157e+00;-2.060265473462099450e+01;2.162895471741570930e+00;-2.934172825639888016e-01;5.314080301299911824e+00;3.604888490054882322e+00;1.421360429938144376e+00;1.029624452983012528e+00
2.199448717566357292e+00;-6.631648767107286346e+00;-2.051888875022354597e+01;2.134030567411506318e+00;-2.839062721927165800e-01;5.381472519856879799e+00;3.666048907048791161e+00;1.475519053633378430e+00;9.748915239737020455e-01
2.299423659273919007e+00;-6.683829264286609728e+00;-2.043362785144529070e+01;2.106127110657178836e+00;-2.744099439294724330e-01;5.449153377684766930e+00;3.737081520321988037e+00;1.527421030744579689e+00;9.228150400530071851e-01
2.399398600981480278e+00;-6.733662650893116108e+00;-2.034694748620256632e+01;2.079151364283092107e+00;-2.652329002352527554e-01;5.517291142203254672e+00;3.808499598706438505e+00;1.577137150736771076e+00;8.732998590152883933e-01
2.499373542689041994e+00;-6.781170026385415106e+00;-2.025899484636664383e+01;2.053084185327819444e+00;-2.563273936868283309e-01;5.585875992051953176e+00;3.881448187619647605e+00;1.624638774699909805e+00;8.269746873634266082e-01
2.599348484396603709e+00;-6.826416986966069800e+00;-2.016983587783316167e+01;2.027890857604947250e+00;-2.476215190835212576e-01;5.654918718352968554e+00;3.957910874539102064e+00;1.669955066212741812e+00;7.824290883786441109e-01
