x_m,y_m
5.886000,-1.412790
5.836000,-1.362790
5.786000,-1.362790
5.736000,-1.362790
5.686000,-1.362790
5.636000,-1.362790
5.586000,-1.362790
5.536000,-1.312790
5.486000,-1.312790
5.436000,-1.262790
5.386000,-1.262790
5.336000,-1.262790
5.286000,-1.262790
5.236000,-1.262790
5.186000,-1.262790
5.136000,-1.262790
5.086000,-1.262790
5.036000,-1.212790
4.986000,-1.212790
4.936000,-1.212790
4.886000,-1.212790
4.836000,-1.212790
4.786000,-1.212790
4.736000,-1.162790
4.686000,-1.162790
4.636000,-1.162790
4.586000,-1.112790
4.536000,-1.112790
4.486000,-1.112790
4.436000,-1.112790
4.386000,-1.112790
4.336000,-1.112790
4.286000,-1.112790
4.236000,-1.112790
4.186000,-1.062790
4.136000,-1.062790
4.086000,-1.062790
4.036000,-1.062790
3.986000,-1.062790
3.936000,-1.012790
3.886000,-1.012790
3.836000,-1.012790
3.786000,-1.012790
3.736000,-0.962790
3.686000,-0.962790
3.636000,-0.962790
3.586000,-0.962790
3.536000,-0.962790
3.486000,-0.912790
3.436000,-0.912790
3.386000,-0.912790
3.336000,-0.912790
3.286000,-0.912790
3.236000,-0.862790
3.186000,-0.862790
3.136000,-0.862790
3.086000,-0.862790
3.036000,-0.862790
2.986000,-0.812790
2.936000,-0.812790
2.886000,-0.812790
2.836000,-0.812790
2.786000,-0.812790
2.736000,-0.812790
2.686000,-0.762790
2.636000,-0.762790
2.586000,-0.762790
2.536000,-0.712790
2.486000,-0.712790
2.436000,-0.712790
2.386000,-0.712790
2.336000,-0.712790
2.286000,-0.712790
2.236000,-0.712790
2.186000,-0.662790
2.136000,-0.662790
2.086000,-0.662790
2.036000,-0.612790
1.986000,-0.612790
1.936000,-0.562790
1.886000,-0.562790
1.836000,-0.562790
1.786000,-0.562790
1.736000,-0.562790
1.686000,-0.562790
1.636000,-0.562790
1.586000,-0.562790
1.536000,-0.562790
1.486000,-0.562790
1.436000,-0.512790
1.386000,-0.512790
1.336000,-0.512790
1.286000,-0.512790
1.236000,-0.512790
1.186000,-0.512790
1.136000,-0.512790
1.086000,-0.462790
1.036000,-0.462790
0.986000,-0.462790
0.936000,-0.462790
0.886000,-0.462790
0.836000,-0.462790
0.786000,-0.412790
0.736000,-0.412790
0.686000,-0.412790
0.636000,-0.412790
0.586000,-0.412790
0.536000,-0.362790
0.486000,-0.362790
0.436000,-0.362790
0.386000,-0.362790
0.336000,-0.362790
0.286000,-0.362790
0.236000,-0.312790
0.186000,-0.312790
0.136000,-0.312790
0.086000,-0.312790
0.036000,-0.262790
-0.014000,-0.262790
-0.064000,-0.262790
-0.114000,-0.262790
-0.164000,-0.212790
-0.214000,-0.212790
-0.264000,-0.212790
-0.314000,-0.162790
-0.364000,-0.112790
-0.414000,-0.112790
-0.464000,-0.112790
-0.514000,-0.062790
-0.564000,-0.062790
-0.614000,-0.062790
-0.664000,-0.062790
-0.714000,-0.012790
-0.764000,-0.012790
-0.814000,0.037210
-0.864000,0.037210
-0.914000,0.037210
-0.964000,0.087210
-1.014000,0.087210
-1.064000,0.137210
-1.114000,0.137210
-1.164000,0.187210
-1.214000,0.187210
-1.264000,0.237210
-1.314000,0.237210
-1.364000,0.287210
-1.414000,0.287210
-1.464000,0.287210
-1.514000,0.337210
-1.564000,0.337210
-1.614000,0.387210
-1.664000,0.437210
-1.714000,0.437210
-1.764000,0.437210
-1.814000,0.437210
-1.864000,0.487210
-1.914000,0.487210
-1.964000,0.537210
-2.014000,0.587210
-2.064000,0.637210
-2.114000,0.637210
-2.164000,0.687210
-2.214000,0.687210
-2.264000,0.737210
-2.314000,0.737210
-2.364000,0.787210
-2.414000,0.837210
-2.464000,0.837210
-2.514000,0.887210
-2.564000,0.887210
-2.614000,0.937210
-2.664000,0.987210
-2.714000,0.987210
-2.764000,0.987210
-2.814000,1.037210
-2.864000,1.037210
-2.914000,1.087210
-2.964000,1.087210
-3.014000,1.137210
-3.064000,1.137210
-3.114000,1.187210
-3.164000,1.237210
-3.214000,1.237210
-3.264000,1.287210
-3.314000,1.287210
-3.364000,1.337210
-3.414000,1.337210
-3.464000,1.387210
-3.514000,1.387210
-3.564000,1.437210
-3.614000,1.437210
-3.664000,1.487210
-3.714000,1.487210
-3.764000,1.537210
-3.814000,1.537210
-3.864000,1.587210
-3.914000,1.637210
-3.964000,1.637210
-4.014000,1.687210
-4.064000,1.687210
-4.114000,1.737210
-4.164000,1.737210
-4.214000,1.787210
-4.264000,1.787210
-4.314000,1.837210
-4.364000,1.837210
-4.414000,1.887210
-4.464000,1.887210
-4.514000,1.937210
-4.564000,1.937210
-4.614000,1.987210
-4.664000,1.987210
-4.714000,2.037210
-4.764000,2.037210
-4.814000,2.087210
-4.864000,2.087210
-4.914000,2.137210
-4.964000,2.137210
-5.014000,2.187210
-5.064000,2.187210
-5.114000,2.237210
-5.164000,2.237210
-5.214000,2.287210
-5.264000,2.287210
-5.314000,2.337210
-5.364000,2.387210
-5.414000,2.387210
-5.464000,2.437210
-5.514000,2.437210
-5.564000,2.487210
-5.614000,2.487210
-5.664000,2.537210
-5.714000,2.537210
-5.764000,2.587210
-5.814000,2.587210
-5.864000,2.637210
-5.914000,2.687210
-5.964000,2.737210
-6.014000,2.737210
-6.064000,2.737210
