x_m,y_m,w_tr_right_m,w_tr_left_m
4.590424,-0.266601,0.8462,0.8998
4.642403,-0.271054,0.8436,0.9282
4.695213,-0.274025,0.8458,0.9578
4.748472,-0.275221,0.8532,0.9881
4.801821,-0.274368,0.8658,1.0188
4.854921,-0.271215,0.8835,1.0493
4.905839,-0.265534,0.9056,1.0782
4.956324,-0.257118,0.9321,1.1065
5.006079,-0.247844,0.9540,1.1353
5.054834,-0.235954,0.9770,1.1611
5.102336,-0.221329,0.9937,1.1847
5.148357,-0.203869,1.0152,1.2046
5.192689,-0.183500,1.0411,1.2215
5.235147,-0.160166,1.0713,1.2354
5.275568,-0.133834,1.1052,1.2450
5.313809,-0.104493,1.1426,1.2513
5.349751,-0.072156,1.1830,1.2544
5.383295,-0.036853,1.2237,1.2556
5.414365,0.001360,1.2010,1.2549
5.441290,0.040343,1.1842,1.2524
5.466080,0.081592,1.1717,1.2486
5.488701,0.124967,1.1626,1.2437
5.509142,0.170303,1.1507,1.2378
5.527415,0.217414,1.1434,1.2312
5.543553,0.266094,1.1409,1.2240
5.557609,0.316114,1.1430,1.2143
5.569660,0.367222,1.1498,1.2020
5.579804,0.419146,1.1549,1.1884
5.588162,0.471592,1.1479,1.1717
5.594875,0.524243,1.1412,1.1553
5.600106,0.576760,1.1359,1.1353
5.604042,0.628785,1.1327,1.1165
5.606889,0.681998,1.1331,1.0984
5.607260,0.734402,1.1383,1.0805
5.607447,0.785593,1.1459,1.0650
5.607703,0.837210,1.1557,1.0518
5.608298,0.887210,1.1669,1.0417
5.609529,0.937210,1.1796,1.0345
5.611710,0.987210,1.1933,1.0306
5.615181,1.037210,1.2078,1.0304
5.618237,1.087210,1.2219,1.0322
5.618237,1.087210,1.2219,1.0322
5.620792,1.137210,1.2244,1.0348
5.623205,1.187210,1.2292,1.0372
5.625836,1.237210,1.2357,1.0398
5.628598,1.287210,1.2441,1.0426
5.631403,1.337210,1.2544,1.0454
5.634165,1.387210,1.2608,1.0482
5.638860,1.437210,1.2631,1.0529
5.643806,1.487210,1.2671,1.0578
5.648937,1.537210,1.2729,1.0629
5.654188,1.587210,1.2806,1.0682
5.657877,1.637210,1.2916,1.0719
5.661981,1.687210,1.3041,1.0760
5.666411,1.737210,1.3169,1.0804
5.671082,1.787210,1.3187,1.0851
5.675906,1.837210,1.3187,1.0899
5.680795,1.887210,1.3204,1.0959
5.685662,1.937210,1.3242,1.1042
5.690420,1.987210,1.3299,1.1146
5.694982,2.037210,1.3376,1.1269
5.701324,2.087210,1.3431,1.1430
5.707764,2.137210,1.3432,1.1612
5.714236,2.187210,1.3452,1.1813
5.720676,2.237210,1.3491,1.2031
5.727018,2.287210,1.3550,1.2265
5.733197,2.337210,1.3537,1.2473
5.739146,2.387210,1.3506,1.2679
5.744801,2.437210,1.3496,1.2898
5.751712,2.487210,1.3492,1.3145
5.757772,2.537210,1.3516,1.3399
5.762938,2.587210,1.3566,1.3658
5.767166,2.637210,1.3645,1.3900
5.772029,2.687210,1.3735,1.4098
5.777058,2.737210,1.3841,1.4312
5.783869,2.787210,1.3948,1.4540
5.790442,2.837210,1.4036,1.4748
5.796395,2.887210,1.4039,1.4964
5.801369,2.937210,1.4070,1.5185
5.805026,2.988827,1.4135,1.5369
5.807048,3.041634,1.4238,1.5551
5.807142,3.093613,1.4375,1.5728
5.805034,3.146423,1.4553,1.5903
5.800475,3.198066,1.4767,1.6067
5.795298,3.248607,1.4997,1.6235
5.787702,3.298111,1.5259,1.6390
5.777522,3.348262,1.5559,1.6523
5.764618,3.397082,1.5888,1.6624
5.748869,3.446275,1.6169,1.6717
5.730177,3.495502,1.6453,1.6800
5.708466,3.542832,1.6773,1.6863
5.683681,3.590011,1.6596,1.6916
5.655789,3.635129,1.6185,1.6947
5.626844,3.679954,1.5787,1.6950
5.595261,3.724214,1.5407,1.6923
5.561095,3.767659,1.5050,1.6888
5.524422,3.810058,1.4722,1.6825
5.485341,3.851205,1.4428,1.6714
5.443972,3.890914,1.4094,1.6594
5.400455,3.929022,1.3785,1.6467
5.354956,3.965387,1.3514,1.6332
5.307659,3.999889,1.3285,1.6192
5.258771,4.032430,1.3103,1.6046
5.208523,4.062933,1.2944,1.5898
5.157164,4.091344,1.2767,1.5732
5.104967,4.117630,1.2637,1.5445
5.052227,4.141780,1.2526,1.5157
4.999260,4.163806,1.2376,1.4872
4.946404,4.183739,1.2271,1.4591
4.894020,4.203251,1.2194,1.4327
4.840424,4.220377,1.2169,1.4055
4.787617,4.235236,1.2111,1.3790
4.736000,4.249586,1.2043,1.3523
4.686000,4.261550,1.2019,1.3255
4.636000,4.271335,1.1798,1.2971
4.586000,4.279169,1.1483,1.2688
4.536000,4.285303,1.1197,1.2405
4.486000,4.290011,1.0940,1.2126
4.436000,4.293587,1.0711,1.1852
4.386000,4.296347,1.0509,1.1586
4.336000,4.296565,1.0351,1.1315
4.286000,4.294132,1.0241,1.1037
4.236000,4.291004,1.0089,1.0769
4.186000,4.285476,0.9979,1.0496
4.136000,4.279524,0.9898,1.0237
4.086000,4.273531,0.9842,0.9996
4.036000,4.267901,0.9808,0.9778
3.986000,4.262610,0.9797,0.9586
3.936000,4.257660,0.9808,0.9382
3.886000,4.251456,0.9827,0.9148
3.836000,4.244019,0.9758,0.8925
3.786000,4.237435,0.9655,0.8734
3.736000,4.230131,0.9554,0.8562
3.686000,4.224214,0.9466,0.8430
3.636000,4.219751,0.9390,0.8340
3.586000,4.214764,0.9346,0.8276
3.536000,4.209340,0.9123,0.8116
3.486000,4.203568,0.8878,0.7920
3.436000,4.197533,0.8658,0.7750
3.386000,4.191324,0.8464,0.7607
3.336000,4.186645,0.8282,0.7511
3.286000,4.181540,0.8130,0.7443
3.236000,4.176119,0.8011,0.7389
3.186000,4.170490,0.7924,0.7333
3.136000,4.164764,0.7869,0.7276
3.086000,4.160664,0.7830,0.7235
3.036000,4.156260,0.7825,0.7190
2.986000,4.151681,0.7855,0.7145
2.936000,4.147058,0.7902,0.7098
2.886000,4.142522,0.7947,0.7053
2.836000,4.137758,0.7995,0.7005
2.786000,4.132448,0.8048,0.6952
2.736000,4.126723,0.8105,0.6895
2.686000,4.120268,0.8067,0.6831
2.636000,4.112765,0.7999,0.6756
2.586000,4.104346,0.7919,0.6671
2.536000,4.095142,0.7830,0.6598
2.486000,4.085284,0.7781,0.6557
2.436000,4.074901,0.7729,0.6551
2.386000,4.064127,0.7651,0.6580
2.336000,4.054706,0.7593,0.6662
2.286000,4.044730,0.7547,0.6575
2.236000,4.034350,0.7460,0.6471
2.186000,4.023719,0.7410,0.6385
2.136000,4.012990,0.7380,0.6337
2.086000,4.003932,0.7236,0.6347
2.036000,3.994656,0.7091,0.6395
1.986000,3.985336,0.6982,0.6481
1.936000,3.974083,0.6907,0.6369
1.886000,3.964284,0.6714,0.6271
1.836000,3.954048,0.6558,0.6168
1.786000,3.943550,0.6442,0.6063
1.736000,3.932965,0.6365,0.5958
1.686000,3.922467,0.6328,0.5853
1.636000,3.912231,0.6329,0.5750
1.586000,3.900367,0.6388,0.5632
1.536000,3.888645,0.6486,0.5537
1.486000,3.877218,0.6353,0.5492
1.436000,3.867855,0.6218,0.5514
1.386000,3.858666,0.6121,0.5585
1.336000,3.849826,0.6062,0.5648
1.286000,3.839446,0.6061,0.5612
1.236000,3.829295,0.6100,0.5625
1.186000,3.819526,0.6019,0.5686
1.136000,3.810291,0.5961,0.5731
1.086000,3.803360,0.5895,0.5662
1.036000,3.794780,0.5781,0.5576
0.986000,3.786320,0.5709,0.5514
0.936000,3.778132,0.5672,0.5501
0.886000,3.770370,0.5542,0.5539
0.836000,3.763186,0.5451,0.5627
0.786000,3.754669,0.5418,0.5747
0.736000,3.746567,0.5430,0.5911
0.686000,3.739010,0.5482,0.6118
0.636000,3.730065,0.5452,0.6347
0.586000,3.723075,0.5356,0.6437
0.536000,3.716107,0.5306,0.6465
0.486000,3.709292,0.5303,0.6534
0.436000,3.701144,0.5361,0.6629
0.386000,3.693836,0.5434,0.6585
0.336000,3.685860,0.5514,0.6563
0.286000,3.675687,0.5615,0.6559
0.234383,3.665425,0.5718,0.6598
0.181576,3.655542,0.5817,0.6686
0.129597,3.646486,0.5908,0.6678
0.076787,3.638683,0.6014,0.6706
0.025144,3.630471,0.6168,0.6769
-0.027013,3.623828,0.6347,0.6867
-0.077709,3.619092,0.6540,0.6849
-0.128647,3.616579,0.6737,0.6890
-0.179489,3.614519,0.6825,0.6972
-0.229919,3.614781,0.6926,0.7111
-0.279642,3.617593,0.7035,0.7304
-0.328385,3.623163,0.7147,0.7541
-0.374282,3.631675,0.7253,0.7736
-0.419144,3.643294,0.7354,0.7980
-0.462743,3.658162,0.7448,0.8268
-0.503256,3.676398,0.7524,0.8108
-0.542537,3.698101,0.7590,0.7715
-0.580403,3.721282,0.7661,0.7338
-0.616690,3.747592,0.7724,0.6974
-0.651255,3.777042,0.7762,0.6628
-0.682362,3.809619,0.7755,0.6320
-0.711956,3.845293,0.7707,0.6021
-0.739937,3.884007,0.7633,0.5760
-0.766230,3.925687,0.7527,0.5549
-0.789163,3.968169,0.7384,0.5409
-0.810745,4.012929,0.7222,0.5331
-0.830944,4.059803,0.7037,0.5319
-0.849750,4.108605,0.6819,0.5284
-0.865555,4.159128,0.6594,0.5273
-0.880436,4.211144,0.6389,0.5329
-0.894425,4.264401,0.6209,0.5201
-0.907575,4.318627,0.6063,0.5068
-0.919964,4.373527,0.5956,0.4942
-0.931691,4.428785,0.5894,0.4841
-0.941257,4.481998,0.5858,0.4822
-0.950847,4.534402,0.5739,0.4860
-0.960603,4.585593,0.5672,0.4949
-0.970689,4.637210,0.5656,0.4933
-0.979673,4.687210,0.5679,0.4843
-0.989804,4.737210,0.5626,0.4768
-0.999673,4.787210,0.5563,0.4750
-1.007872,4.837210,0.5530,0.4802
-1.016201,4.887210,0.5406,0.4904
-1.026463,4.937210,0.5340,0.4901
-1.036802,4.987210,0.5323,0.4876
-1.049041,5.037210,0.5247,0.4886
-1.061345,5.087210,0.5195,0.4949
-1.075560,5.137210,0.5212,0.4986
